[INFO] Scanning for projects...
[INFO] 
[INFO] ------------------< com.deepnetts:deepnetts-examples >------------------
[INFO] Building com.deepnetts:deepnetts-examples 1.11
[INFO] --------------------------------[ jar ]---------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:3.0.0:java (default-cli) @ deepnetts-examples ---
------------------------------------------------------------------------------------------------------------------------------------------------
TRAINING NEURAL NETWORK
------------------------------------------------------------------------------------------------------------------------------------------------
Epoch:1, Time:356ms, TrainError:0.8182211, TrainErrorChange:0.8182211, TrainAccuracy: 0.5833333
Epoch:2, Time:12ms, TrainError:0.4891482, TrainErrorChange:-0.3290729, TrainAccuracy: 0.6388889
Epoch:3, Time:15ms, TrainError:0.38582256, TrainErrorChange:-0.103325635, TrainAccuracy: 0.943922
Epoch:4, Time:5ms, TrainError:0.32299483, TrainErrorChange:-0.062827736, TrainAccuracy: 0.9575758
Epoch:5, Time:2ms, TrainError:0.2768873, TrainErrorChange:-0.04610753, TrainAccuracy: 0.9575758
Epoch:6, Time:11ms, TrainError:0.24381275, TrainErrorChange:-0.033074543, TrainAccuracy: 0.9575758
Epoch:7, Time:3ms, TrainError:0.21998572, TrainErrorChange:-0.023827031, TrainAccuracy: 0.9575758
Epoch:8, Time:6ms, TrainError:0.20210634, TrainErrorChange:-0.017879382, TrainAccuracy: 0.9575758
Epoch:9, Time:1ms, TrainError:0.18801513, TrainErrorChange:-0.014091209, TrainAccuracy: 0.9575758
Epoch:10, Time:15ms, TrainError:0.17651363, TrainErrorChange:-0.011501506, TrainAccuracy: 0.9575758
Epoch:11, Time:7ms, TrainError:0.16705103, TrainErrorChange:-0.009462595, TrainAccuracy: 0.93743896
Epoch:12, Time:2ms, TrainError:0.1594101, TrainErrorChange:-0.007640928, TrainAccuracy: 0.93743896
Epoch:13, Time:3ms, TrainError:0.15347962, TrainErrorChange:-0.0059304833, TrainAccuracy: 0.93743896
Epoch:14, Time:2ms, TrainError:0.14910902, TrainErrorChange:-0.0043706, TrainAccuracy: 0.93743896
Epoch:15, Time:2ms, TrainError:0.14601724, TrainErrorChange:-0.0030917823, TrainAccuracy: 0.93743896
Epoch:16, Time:36ms, TrainError:0.14374933, TrainErrorChange:-0.002267912, TrainAccuracy: 0.93743896
Epoch:17, Time:1ms, TrainError:0.14173417, TrainErrorChange:-0.0020151585, TrainAccuracy: 0.93743896
Epoch:18, Time:1ms, TrainError:0.13951217, TrainErrorChange:-0.0022220016, TrainAccuracy: 0.93743896
Epoch:19, Time:2ms, TrainError:0.13704383, TrainErrorChange:-0.0024683326, TrainAccuracy: 0.93743896
Epoch:20, Time:2ms, TrainError:0.13478348, TrainErrorChange:-0.0022603571, TrainAccuracy: 0.93743896
Epoch:21, Time:1ms, TrainError:0.13334632, TrainErrorChange:-0.0014371574, TrainAccuracy: 0.93743896
Epoch:22, Time:1ms, TrainError:0.1331035, TrainErrorChange:-2.4281442E-4, TrainAccuracy: 0.93743896
Epoch:23, Time:6ms, TrainError:0.13413727, TrainErrorChange:0.001033768, TrainAccuracy: 0.93743896
Epoch:24, Time:1ms, TrainError:0.13640489, TrainErrorChange:0.002267614, TrainAccuracy: 0.93743896
Epoch:25, Time:1ms, TrainError:0.139791, TrainErrorChange:0.00338611, TrainAccuracy: 0.93743896
Epoch:26, Time:1ms, TrainError:0.14406218, TrainErrorChange:0.0042711794, TrainAccuracy: 0.93743896
Epoch:27, Time:1ms, TrainError:0.14882915, TrainErrorChange:0.004766971, TrainAccuracy: 0.93743896
Epoch:28, Time:1ms, TrainError:0.15359853, TrainErrorChange:0.004769385, TrainAccuracy: 0.93743896
Epoch:29, Time:1ms, TrainError:0.1579023, TrainErrorChange:0.0043037683, TrainAccuracy: 0.9575758
Epoch:30, Time:3ms, TrainError:0.16138574, TrainErrorChange:0.0034834445, TrainAccuracy: 0.97840476
Epoch:31, Time:3ms, TrainError:0.16373378, TrainErrorChange:0.0023480356, TrainAccuracy: 0.95740366
Epoch:32, Time:2ms, TrainError:0.16460569, TrainErrorChange:8.7191164E-4, TrainAccuracy: 0.95740366
Epoch:33, Time:1ms, TrainError:0.16389099, TrainErrorChange:-7.147044E-4, TrainAccuracy: 0.95740366
Epoch:34, Time:2ms, TrainError:0.1619314, TrainErrorChange:-0.001959592, TrainAccuracy: 0.95740366
Epoch:35, Time:1ms, TrainError:0.15908511, TrainErrorChange:-0.0028462857, TrainAccuracy: 0.95740366
Epoch:36, Time:1ms, TrainError:0.15563692, TrainErrorChange:-0.0034481883, TrainAccuracy: 0.95740366
Epoch:37, Time:1ms, TrainError:0.15196803, TrainErrorChange:-0.0036688894, TrainAccuracy: 0.93694574
Epoch:38, Time:1ms, TrainError:0.14837673, TrainErrorChange:-0.003591299, TrainAccuracy: 0.93694574
Epoch:39, Time:1ms, TrainError:0.14497057, TrainErrorChange:-0.003406167, TrainAccuracy: 0.95740366
Epoch:40, Time:1ms, TrainError:0.14174272, TrainErrorChange:-0.0032278448, TrainAccuracy: 0.95740366
Epoch:41, Time:1ms, TrainError:0.13865986, TrainErrorChange:-0.0030828565, TrainAccuracy: 0.95740366
Epoch:42, Time:1ms, TrainError:0.13569443, TrainErrorChange:-0.0029654354, TrainAccuracy: 0.95740366
Epoch:43, Time:1ms, TrainError:0.13282728, TrainErrorChange:-0.0028671473, TrainAccuracy: 0.95740366
Epoch:44, Time:1ms, TrainError:0.13004337, TrainErrorChange:-0.0027839094, TrainAccuracy: 0.95740366
Epoch:45, Time:1ms, TrainError:0.12733127, TrainErrorChange:-0.0027121007, TrainAccuracy: 0.95740366
Epoch:46, Time:4ms, TrainError:0.1246818, TrainErrorChange:-0.0026494712, TrainAccuracy: 0.95740366
Epoch:47, Time:1ms, TrainError:0.12209072, TrainErrorChange:-0.002591081, TrainAccuracy: 0.95740366
Epoch:48, Time:2ms, TrainError:0.11955497, TrainErrorChange:-0.002535753, TrainAccuracy: 0.95740366
Epoch:49, Time:1ms, TrainError:0.117075235, TrainErrorChange:-0.002479732, TrainAccuracy: 0.95740366
Epoch:50, Time:2ms, TrainError:0.11465527, TrainErrorChange:-0.0024199635, TrainAccuracy: 0.95740366
Epoch:51, Time:1ms, TrainError:0.11229984, TrainErrorChange:-0.002355434, TrainAccuracy: 0.95740366
Epoch:52, Time:9ms, TrainError:0.11001268, TrainErrorChange:-0.0022871569, TrainAccuracy: 0.95740366
Epoch:53, Time:1ms, TrainError:0.10779798, TrainErrorChange:-0.0022147, TrainAccuracy: 0.95740366
Epoch:54, Time:1ms, TrainError:0.10565817, TrainErrorChange:-0.0021398067, TrainAccuracy: 0.95740366
Epoch:55, Time:1ms, TrainError:0.10359541, TrainErrorChange:-0.0020627603, TrainAccuracy: 0.95740366
Epoch:56, Time:1ms, TrainError:0.10161236, TrainErrorChange:-0.001983054, TrainAccuracy: 0.95740366
Epoch:57, Time:18ms, TrainError:0.09970986, TrainErrorChange:-0.0019024983, TrainAccuracy: 0.95740366
Epoch:58, Time:1ms, TrainError:0.09789012, TrainErrorChange:-0.0018197373, TrainAccuracy: 0.95740366
Epoch:59, Time:2ms, TrainError:0.0961517, TrainErrorChange:-0.0017384216, TrainAccuracy: 0.95740366
Epoch:60, Time:1ms, TrainError:0.094492935, TrainErrorChange:-0.0016587675, TrainAccuracy: 0.95740366
Epoch:61, Time:1ms, TrainError:0.09290996, TrainErrorChange:-0.0015829727, TrainAccuracy: 0.95740366
Epoch:62, Time:1ms, TrainError:0.09139754, TrainErrorChange:-0.0015124232, TrainAccuracy: 0.97840476
Epoch:63, Time:1ms, TrainError:0.089950666, TrainErrorChange:-0.001446873, TrainAccuracy: 0.97840476
Epoch:64, Time:1ms, TrainError:0.08856416, TrainErrorChange:-0.0013865083, TrainAccuracy: 0.97840476
Epoch:65, Time:1ms, TrainError:0.08723296, TrainErrorChange:-0.0013311952, TrainAccuracy: 0.97840476
Epoch:66, Time:1ms, TrainError:0.08595302, TrainErrorChange:-0.0012799427, TrainAccuracy: 0.97840476
Epoch:67, Time:1ms, TrainError:0.084720746, TrainErrorChange:-0.0012322739, TrainAccuracy: 0.97840476
Epoch:68, Time:1ms, TrainError:0.083533116, TrainErrorChange:-0.00118763, TrainAccuracy: 0.97840476
Epoch:69, Time:1ms, TrainError:0.082387134, TrainErrorChange:-0.0011459813, TrainAccuracy: 0.97840476
Epoch:70, Time:3ms, TrainError:0.081280954, TrainErrorChange:-0.0011061803, TrainAccuracy: 0.97840476
Epoch:71, Time:1ms, TrainError:0.08021238, TrainErrorChange:-0.0010685772, TrainAccuracy: 0.97840476
Epoch:72, Time:0ms, TrainError:0.07917977, TrainErrorChange:-0.0010326058, TrainAccuracy: 0.97840476
Epoch:73, Time:1ms, TrainError:0.07818145, TrainErrorChange:-9.983182E-4, TrainAccuracy: 0.97840476
Epoch:74, Time:1ms, TrainError:0.07721634, TrainErrorChange:-9.6511096E-4, TrainAccuracy: 0.97840476
Epoch:75, Time:1ms, TrainError:0.07628258, TrainErrorChange:-9.337589E-4, TrainAccuracy: 0.97840476
Epoch:76, Time:0ms, TrainError:0.07537889, TrainErrorChange:-9.036958E-4, TrainAccuracy: 0.97840476
Epoch:77, Time:1ms, TrainError:0.074504636, TrainErrorChange:-8.742511E-4, TrainAccuracy: 0.97840476
Epoch:78, Time:1ms, TrainError:0.0736584, TrainErrorChange:-8.4623694E-4, TrainAccuracy: 0.97840476
Epoch:79, Time:2ms, TrainError:0.07283898, TrainErrorChange:-8.194223E-4, TrainAccuracy: 0.97840476
Epoch:80, Time:1ms, TrainError:0.07204541, TrainErrorChange:-7.935688E-4, TrainAccuracy: 0.97840476
Epoch:81, Time:8ms, TrainError:0.071276836, TrainErrorChange:-7.685721E-4, TrainAccuracy: 0.97840476
Epoch:82, Time:3ms, TrainError:0.07053256, TrainErrorChange:-7.4427575E-4, TrainAccuracy: 0.97840476
Epoch:83, Time:11ms, TrainError:0.06981139, TrainErrorChange:-7.211715E-4, TrainAccuracy: 0.97840476
Epoch:84, Time:0ms, TrainError:0.06911232, TrainErrorChange:-6.990656E-4, TrainAccuracy: 0.97840476
Epoch:85, Time:0ms, TrainError:0.06843481, TrainErrorChange:-6.775111E-4, TrainAccuracy: 0.97840476
Epoch:86, Time:11ms, TrainError:0.067778215, TrainErrorChange:-6.565973E-4, TrainAccuracy: 0.97840476
Epoch:87, Time:2ms, TrainError:0.06714154, TrainErrorChange:-6.3667446E-4, TrainAccuracy: 0.97840476
Epoch:88, Time:1ms, TrainError:0.06652436, TrainErrorChange:-6.1718374E-4, TrainAccuracy: 0.97840476
Epoch:89, Time:2ms, TrainError:0.06592583, TrainErrorChange:-5.985275E-4, TrainAccuracy: 0.97840476
Epoch:90, Time:1ms, TrainError:0.065345265, TrainErrorChange:-5.8056414E-4, TrainAccuracy: 0.97840476
Epoch:91, Time:1ms, TrainError:0.064782135, TrainErrorChange:-5.631298E-4, TrainAccuracy: 0.97840476
Epoch:92, Time:1ms, TrainError:0.064235754, TrainErrorChange:-5.463809E-4, TrainAccuracy: 0.97840476
Epoch:93, Time:2ms, TrainError:0.06370563, TrainErrorChange:-5.301237E-4, TrainAccuracy: 0.97840476
Epoch:94, Time:1ms, TrainError:0.06319128, TrainErrorChange:-5.1435083E-4, TrainAccuracy: 0.97840476
Epoch:95, Time:0ms, TrainError:0.06269194, TrainErrorChange:-4.993379E-4, TrainAccuracy: 0.97840476
Epoch:96, Time:1ms, TrainError:0.06220716, TrainErrorChange:-4.847832E-4, TrainAccuracy: 0.97840476
