[INFO] Scanning for projects...
[INFO] 
[INFO] --------------------< deepnetts:deepnetts-examples >--------------------
[INFO] Building deepnetts-examples 1.1-SNAPSHOT
[INFO] --------------------------------[ jar ]---------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:3.0.0:java (default-cli) @ deepnetts-examples ---
------------------------------------------------------------------------
TRAINING NEURAL NETWORK
------------------------------------------------------------------------
Epoch:1, Time:49ms, TrainError:0.6804489, TrainErrorChange:0.6804489, Accuracy: 0.62068963
Epoch:2, Time:3ms, TrainError:0.66565275, TrainErrorChange:0.66565275, Accuracy: 0.6689655
Epoch:3, Time:1ms, TrainError:0.6530282, TrainErrorChange:0.6530282, Accuracy: 0.6827586
Epoch:4, Time:1ms, TrainError:0.6416249, TrainErrorChange:0.6416249, Accuracy: 0.71034485
Epoch:5, Time:0ms, TrainError:0.6312397, TrainErrorChange:0.6312397, Accuracy: 0.71034485
Epoch:6, Time:1ms, TrainError:0.62171406, TrainErrorChange:0.62171406, Accuracy: 0.7034483
Epoch:7, Time:1ms, TrainError:0.61292374, TrainErrorChange:0.61292374, Accuracy: 0.7034483
Epoch:8, Time:1ms, TrainError:0.6047735, TrainErrorChange:0.6047735, Accuracy: 0.7172414
Epoch:9, Time:1ms, TrainError:0.59718436, TrainErrorChange:0.59718436, Accuracy: 0.73103446
Epoch:10, Time:1ms, TrainError:0.59009355, TrainErrorChange:0.59009355, Accuracy: 0.7241379
Epoch:11, Time:1ms, TrainError:0.58344805, TrainErrorChange:0.58344805, Accuracy: 0.73103446
Epoch:12, Time:1ms, TrainError:0.5772039, TrainErrorChange:0.5772039, Accuracy: 0.737931
Epoch:13, Time:1ms, TrainError:0.5713231, TrainErrorChange:0.5713231, Accuracy: 0.74482757
Epoch:14, Time:1ms, TrainError:0.56577283, TrainErrorChange:0.56577283, Accuracy: 0.74482757
Epoch:15, Time:1ms, TrainError:0.560525, TrainErrorChange:0.560525, Accuracy: 0.7517241
Epoch:16, Time:1ms, TrainError:0.5555543, TrainErrorChange:0.5555543, Accuracy: 0.7586207
Epoch:17, Time:1ms, TrainError:0.5508388, TrainErrorChange:0.5508388, Accuracy: 0.7724138
Epoch:18, Time:1ms, TrainError:0.5463591, TrainErrorChange:0.5463591, Accuracy: 0.79310346
Epoch:19, Time:0ms, TrainError:0.542097, TrainErrorChange:0.542097, Accuracy: 0.79310346
Epoch:20, Time:1ms, TrainError:0.5380369, TrainErrorChange:0.5380369, Accuracy: 0.79310346
Epoch:21, Time:1ms, TrainError:0.53416437, TrainErrorChange:0.53416437, Accuracy: 0.8
Epoch:22, Time:1ms, TrainError:0.53046644, TrainErrorChange:0.53046644, Accuracy: 0.8
Epoch:23, Time:1ms, TrainError:0.52693146, TrainErrorChange:0.52693146, Accuracy: 0.79310346
Epoch:24, Time:1ms, TrainError:0.5235484, TrainErrorChange:0.5235484, Accuracy: 0.80689657
Epoch:25, Time:1ms, TrainError:0.5203074, TrainErrorChange:0.5203074, Accuracy: 0.80689657
Epoch:26, Time:1ms, TrainError:0.51719946, TrainErrorChange:0.51719946, Accuracy: 0.8137931
Epoch:27, Time:1ms, TrainError:0.5142165, TrainErrorChange:0.5142165, Accuracy: 0.82758623
Epoch:28, Time:1ms, TrainError:0.51135075, TrainErrorChange:0.51135075, Accuracy: 0.82758623
Epoch:29, Time:0ms, TrainError:0.5085952, TrainErrorChange:0.5085952, Accuracy: 0.82758623
Epoch:30, Time:0ms, TrainError:0.50594324, TrainErrorChange:0.50594324, Accuracy: 0.82758623
Epoch:31, Time:0ms, TrainError:0.503389, TrainErrorChange:0.503389, Accuracy: 0.82758623
Epoch:32, Time:0ms, TrainError:0.50092703, TrainErrorChange:0.50092703, Accuracy: 0.82758623
Epoch:33, Time:1ms, TrainError:0.498552, TrainErrorChange:0.498552, Accuracy: 0.82758623
Epoch:34, Time:1ms, TrainError:0.4962594, TrainErrorChange:0.4962594, Accuracy: 0.82758623
Epoch:35, Time:0ms, TrainError:0.49404448, TrainErrorChange:0.49404448, Accuracy: 0.82758623
Epoch:36, Time:0ms, TrainError:0.49190328, TrainErrorChange:0.49190328, Accuracy: 0.8344827
Epoch:37, Time:0ms, TrainError:0.48983222, TrainErrorChange:0.48983222, Accuracy: 0.82758623
Epoch:38, Time:0ms, TrainError:0.48782727, TrainErrorChange:0.48782727, Accuracy: 0.8344827
Epoch:39, Time:1ms, TrainError:0.4858854, TrainErrorChange:0.4858854, Accuracy: 0.8344827
Epoch:40, Time:1ms, TrainError:0.4840031, TrainErrorChange:0.4840031, Accuracy: 0.8344827
Epoch:41, Time:1ms, TrainError:0.48217788, TrainErrorChange:0.48217788, Accuracy: 0.82758623
Epoch:42, Time:1ms, TrainError:0.4804067, TrainErrorChange:0.4804067, Accuracy: 0.82758623
Epoch:43, Time:0ms, TrainError:0.47868747, TrainErrorChange:0.47868747, Accuracy: 0.82758623
Epoch:44, Time:0ms, TrainError:0.4770173, TrainErrorChange:0.4770173, Accuracy: 0.82758623
Epoch:45, Time:1ms, TrainError:0.47539383, TrainErrorChange:0.47539383, Accuracy: 0.82758623
Epoch:46, Time:1ms, TrainError:0.47381544, TrainErrorChange:0.47381544, Accuracy: 0.8344827
Epoch:47, Time:0ms, TrainError:0.4722798, TrainErrorChange:0.4722798, Accuracy: 0.8344827
Epoch:48, Time:0ms, TrainError:0.470785, TrainErrorChange:0.470785, Accuracy: 0.8344827
Epoch:49, Time:0ms, TrainError:0.46932942, TrainErrorChange:0.46932942, Accuracy: 0.8344827
Epoch:50, Time:0ms, TrainError:0.46791133, TrainErrorChange:0.46791133, Accuracy: 0.8344827
Epoch:51, Time:1ms, TrainError:0.4665291, TrainErrorChange:0.4665291, Accuracy: 0.8344827
Epoch:52, Time:0ms, TrainError:0.46518144, TrainErrorChange:0.46518144, Accuracy: 0.8344827
Epoch:53, Time:0ms, TrainError:0.4638667, TrainErrorChange:0.4638667, Accuracy: 0.8344827
Epoch:54, Time:1ms, TrainError:0.4625836, TrainErrorChange:0.4625836, Accuracy: 0.8344827
Epoch:55, Time:1ms, TrainError:0.46133113, TrainErrorChange:0.46133113, Accuracy: 0.8344827
Epoch:56, Time:1ms, TrainError:0.4601079, TrainErrorChange:0.4601079, Accuracy: 0.8344827
Epoch:57, Time:0ms, TrainError:0.45891267, TrainErrorChange:0.45891267, Accuracy: 0.8344827
Epoch:58, Time:0ms, TrainError:0.45774436, TrainErrorChange:0.45774436, Accuracy: 0.8344827
Epoch:59, Time:0ms, TrainError:0.4566021, TrainErrorChange:0.4566021, Accuracy: 0.8344827
Epoch:60, Time:0ms, TrainError:0.45548508, TrainErrorChange:0.45548508, Accuracy: 0.8344827
Epoch:61, Time:1ms, TrainError:0.4543921, TrainErrorChange:0.4543921, Accuracy: 0.8344827
Epoch:62, Time:1ms, TrainError:0.45332235, TrainErrorChange:0.45332235, Accuracy: 0.8413793
Epoch:63, Time:0ms, TrainError:0.45227492, TrainErrorChange:0.45227492, Accuracy: 0.8413793
Epoch:64, Time:0ms, TrainError:0.45124942, TrainErrorChange:0.45124942, Accuracy: 0.8413793
Epoch:65, Time:0ms, TrainError:0.45024446, TrainErrorChange:0.45024446, Accuracy: 0.8413793
Epoch:66, Time:1ms, TrainError:0.44925973, TrainErrorChange:0.44925973, Accuracy: 0.8413793
Epoch:67, Time:1ms, TrainError:0.44829458, TrainErrorChange:0.44829458, Accuracy: 0.8413793
Epoch:68, Time:0ms, TrainError:0.44734818, TrainErrorChange:0.44734818, Accuracy: 0.8413793
Epoch:69, Time:0ms, TrainError:0.44641992, TrainErrorChange:0.44641992, Accuracy: 0.8413793
Epoch:70, Time:0ms, TrainError:0.44550955, TrainErrorChange:0.44550955, Accuracy: 0.8413793
Epoch:71, Time:0ms, TrainError:0.4446159, TrainErrorChange:0.4446159, Accuracy: 0.8413793
Epoch:72, Time:0ms, TrainError:0.4437388, TrainErrorChange:0.4437388, Accuracy: 0.8413793
Epoch:73, Time:0ms, TrainError:0.44287768, TrainErrorChange:0.44287768, Accuracy: 0.8413793
Epoch:74, Time:0ms, TrainError:0.442032, TrainErrorChange:0.442032, Accuracy: 0.8413793
Epoch:75, Time:0ms, TrainError:0.4412014, TrainErrorChange:0.4412014, Accuracy: 0.8413793
Epoch:76, Time:0ms, TrainError:0.44038528, TrainErrorChange:0.44038528, Accuracy: 0.8413793
Epoch:77, Time:1ms, TrainError:0.43958315, TrainErrorChange:0.43958315, Accuracy: 0.8413793
