Iteration:1, Time:89ms, TotalError:0.59564865, ErrorChange:0.59564865
Iteration:2, Time:10ms, TotalError:0.73795366, ErrorChange:0.14230502
Iteration:3, Time:9ms, TotalError:0.63881886, ErrorChange:-0.0991348
Iteration:4, Time:15ms, TotalError:0.49951008, ErrorChange:-0.13930878
Iteration:5, Time:9ms, TotalError:0.3753657, ErrorChange:-0.124144375
Iteration:6, Time:8ms, TotalError:0.2995471, ErrorChange:-0.0758186
Iteration:7, Time:8ms, TotalError:0.2558481, ErrorChange:-0.043698996
Iteration:8, Time:8ms, TotalError:0.21333389, ErrorChange:-0.04251422
Iteration:9, Time:7ms, TotalError:0.17180772, ErrorChange:-0.04152617
Iteration:10, Time:7ms, TotalError:0.14063007, ErrorChange:-0.031177655
Iteration:11, Time:6ms, TotalError:0.12032153, ErrorChange:-0.02030854
Iteration:12, Time:6ms, TotalError:0.10687335, ErrorChange:-0.013448179
Iteration:13, Time:5ms, TotalError:0.097152665, ErrorChange:-0.009720683
Iteration:14, Time:6ms, TotalError:0.08948365, ErrorChange:-0.0076690167
Iteration:15, Time:6ms, TotalError:0.082945004, ErrorChange:-0.0065386444
Iteration:16, Time:6ms, TotalError:0.077139325, ErrorChange:-0.0058056787
Iteration:17, Time:5ms, TotalError:0.07191973, ErrorChange:-0.0052195936
Iteration:18, Time:1ms, TotalError:0.06722882, ErrorChange:-0.0046909153
Iteration:19, Time:1ms, TotalError:0.06302625, ErrorChange:-0.004202567
Iteration:20, Time:2ms, TotalError:0.059268314, ErrorChange:-0.003757935
Iteration:21, Time:1ms, TotalError:0.05590742, ErrorChange:-0.0033608936
Iteration:22, Time:2ms, TotalError:0.05289706, ErrorChange:-0.0030103624
Iteration:23, Time:1ms, TotalError:0.05019707, ErrorChange:-0.0026999898
Iteration:24, Time:2ms, TotalError:0.047775738, ErrorChange:-0.0024213307
Iteration:25, Time:2ms, TotalError:0.0456088, ErrorChange:-0.002166938
Iteration:26, Time:1ms, TotalError:0.04367783, ErrorChange:-0.0019309707
Iteration:27, Time:2ms, TotalError:0.041968904, ErrorChange:-0.0017089248
Iteration:28, Time:1ms, TotalError:0.04047194, ErrorChange:-0.0014969632
Iteration:29, Time:1ms, TotalError:0.039178476, ErrorChange:-0.0012934655
Iteration:30, Time:2ms, TotalError:0.038069617, ErrorChange:-0.0011088587
Iteration:31, Time:2ms, TotalError:0.037104733, ErrorChange:-9.648837E-4
Iteration:32, Time:2ms, TotalError:0.03623163, ErrorChange:-8.7310374E-4
Iteration:33, Time:2ms, TotalError:0.035408314, ErrorChange:-8.2331523E-4
Iteration:34, Time:2ms, TotalError:0.034612488, ErrorChange:-7.958263E-4
Iteration:35, Time:2ms, TotalError:0.033835966, ErrorChange:-7.7652186E-4
Iteration:36, Time:2ms, TotalError:0.03307909, ErrorChange:-7.568747E-4
Iteration:37, Time:1ms, TotalError:0.03234884, ErrorChange:-7.3025003E-4
Iteration:38, Time:2ms, TotalError:0.03165522, ErrorChange:-6.93623E-4
Iteration:39, Time:2ms, TotalError:0.031007942, ErrorChange:-6.4727664E-4
Iteration:40, Time:1ms, TotalError:0.030413074, ErrorChange:-5.948674E-4
Iteration:41, Time:1ms, TotalError:0.02986468, ErrorChange:-5.483944E-4
Iteration:42, Time:1ms, TotalError:0.02934737, ErrorChange:-5.173106E-4
Iteration:43, Time:1ms, TotalError:0.028852306, ErrorChange:-4.9506314E-4
Iteration:44, Time:2ms, TotalError:0.028393997, ErrorChange:-4.5830943E-4
Iteration:45, Time:2ms, TotalError:0.027991354, ErrorChange:-4.026424E-4
Iteration:46, Time:1ms, TotalError:0.027623896, ErrorChange:-3.674589E-4
Iteration:47, Time:1ms, TotalError:0.027253818, ErrorChange:-3.700778E-4
Iteration:48, Time:2ms, TotalError:0.0267989, ErrorChange:-4.5491755E-4
Iteration:49, Time:1ms, TotalError:0.02694251, ErrorChange:1.4360994E-4
Iteration:50, Time:1ms, TotalError:0.0268256, ErrorChange:-1.16910785E-4
Iteration:51, Time:1ms, TotalError:0.02626141, ErrorChange:-5.641896E-4
Iteration:52, Time:1ms, TotalError:0.025632637, ErrorChange:-6.287731E-4
Iteration:53, Time:2ms, TotalError:0.024831077, ErrorChange:-8.0155954E-4
Iteration:54, Time:2ms, TotalError:0.024190143, ErrorChange:-6.4093433E-4
Iteration:55, Time:2ms, TotalError:0.023748836, ErrorChange:-4.413072E-4
Iteration:56, Time:2ms, TotalError:0.023515387, ErrorChange:-2.3344904E-4
Iteration:57, Time:1ms, TotalError:0.023991806, ErrorChange:4.7641993E-4
Iteration:58, Time:2ms, TotalError:0.024031281, ErrorChange:3.947504E-5
Iteration:59, Time:1ms, TotalError:0.022391478, ErrorChange:-0.0016398039
Iteration:60, Time:1ms, TotalError:0.042241845, ErrorChange:0.019850368
Iteration:61, Time:1ms, TotalError:0.024745688, ErrorChange:-0.017496157
Iteration:62, Time:1ms, TotalError:0.042026658, ErrorChange:0.01728097
Iteration:63, Time:2ms, TotalError:0.04286662, ErrorChange:8.3996356E-4
Iteration:64, Time:2ms, TotalError:0.03961679, ErrorChange:-0.0032498315
Iteration:65, Time:2ms, TotalError:0.033393085, ErrorChange:-0.0062237047
Iteration:66, Time:1ms, TotalError:0.028953984, ErrorChange:-0.0044391006
Iteration:67, Time:1ms, TotalError:0.030239642, ErrorChange:0.0012856573
Iteration:68, Time:1ms, TotalError:0.04898901, ErrorChange:0.018749367
Iteration:69, Time:2ms, TotalError:0.041281395, ErrorChange:-0.0077076145
Iteration:70, Time:1ms, TotalError:0.03881637, ErrorChange:-0.0024650246
Iteration:71, Time:2ms, TotalError:0.060877204, ErrorChange:0.022060834
Iteration:72, Time:2ms, TotalError:0.0440673, ErrorChange:-0.016809903
Iteration:73, Time:1ms, TotalError:0.043591473, ErrorChange:-4.758276E-4
Iteration:74, Time:2ms, TotalError:0.042104468, ErrorChange:-0.0014870055
Iteration:75, Time:2ms, TotalError:0.020929264, ErrorChange:-0.021175204
Iteration:76, Time:2ms, TotalError:0.046427693, ErrorChange:0.02549843
Iteration:77, Time:1ms, TotalError:0.053184126, ErrorChange:0.0067564324
Iteration:78, Time:1ms, TotalError:0.14863685, ErrorChange:0.095452726
Iteration:79, Time:1ms, TotalError:0.05338711, ErrorChange:-0.09524974
Iteration:80, Time:2ms, TotalError:0.1660662, ErrorChange:0.112679094
Iteration:81, Time:2ms, TotalError:0.054724053, ErrorChange:-0.11134215
Iteration:82, Time:2ms, TotalError:0.026260281, ErrorChange:-0.028463772
Iteration:83, Time:1ms, TotalError:0.03921996, ErrorChange:0.01295968
Iteration:84, Time:1ms, TotalError:0.020379161, ErrorChange:-0.0188408
Iteration:85, Time:2ms, TotalError:0.0503906, ErrorChange:0.03001144
Iteration:86, Time:1ms, TotalError:0.021299124, ErrorChange:-0.029091477
