------------------------------------------------------------------------
TRAINING NEURAL NETWORK
------------------------------------------------------------------------
Epoch:1, Time:87ms, TrainError:1.1630161, TestError:0.9997608, TrainErrorChange:1.1630161, Accuracy: 0.64444447
Epoch:2, Time:3ms, TrainError:0.99059856, TestError:0.82281405, TrainErrorChange:0.99059856, Accuracy: 0.8666666
Epoch:3, Time:2ms, TrainError:0.8459647, TestError:0.6715839, TrainErrorChange:0.8459647, Accuracy: 0.8666666
Epoch:4, Time:2ms, TrainError:0.71431273, TestError:0.5651109, TrainErrorChange:0.71431273, Accuracy: 0.9111111
Epoch:5, Time:1ms, TrainError:0.6160068, TestError:0.49196988, TrainErrorChange:0.6160068, Accuracy: 0.9111111
Epoch:6, Time:1ms, TrainError:0.5431191, TestError:0.4399663, TrainErrorChange:0.5431191, Accuracy: 0.9111111
Epoch:7, Time:1ms, TrainError:0.48726663, TestError:0.40115717, TrainErrorChange:0.48726663, Accuracy: 0.9111111
Epoch:8, Time:1ms, TrainError:0.4428296, TestError:0.37079698, TrainErrorChange:0.4428296, Accuracy: 0.9111111
Epoch:9, Time:0ms, TrainError:0.40626445, TestError:0.34604543, TrainErrorChange:0.40626445, Accuracy: 0.9111111
Epoch:10, Time:1ms, TrainError:0.37535506, TestError:0.32518303, TrainErrorChange:0.37535506, Accuracy: 0.9555556
Epoch:11, Time:0ms, TrainError:0.34871355, TestError:0.30716658, TrainErrorChange:0.34871355, Accuracy: 0.9555556
Epoch:12, Time:1ms, TrainError:0.32545468, TestError:0.29136437, TrainErrorChange:0.32545468, Accuracy: 0.9555556
Epoch:13, Time:0ms, TrainError:0.3049903, TestError:0.2773899, TrainErrorChange:0.3049903, Accuracy: 0.9555556
Epoch:14, Time:0ms, TrainError:0.28690392, TestError:0.2649969, TrainErrorChange:0.28690392, Accuracy: 0.9555556
Epoch:15, Time:1ms, TrainError:0.27087948, TestError:0.25401497, TrainErrorChange:0.27087948, Accuracy: 0.9555556
Epoch:16, Time:0ms, TrainError:0.25666133, TestError:0.24431297, TrainErrorChange:0.25666133, Accuracy: 0.9555556
Epoch:17, Time:0ms, TrainError:0.24403305, TestError:0.23577967, TrainErrorChange:0.24403305, Accuracy: 0.9555556
Epoch:18, Time:0ms, TrainError:0.232806, TestError:0.22831525, TrainErrorChange:0.232806, Accuracy: 0.9555556
Epoch:19, Time:0ms, TrainError:0.2228134, TestError:0.22182812, TrainErrorChange:0.2228134, Accuracy: 0.9555556
Epoch:20, Time:1ms, TrainError:0.21390669, TestError:0.21623382, TrainErrorChange:0.21390669, Accuracy: 0.9555556
Epoch:21, Time:0ms, TrainError:0.20595415, TestError:0.21145482, TrainErrorChange:0.20595415, Accuracy: 0.9555556
Epoch:22, Time:0ms, TrainError:0.1988381, TestError:0.20741992, TrainErrorChange:0.1988381, Accuracy: 0.9555556
Epoch:23, Time:0ms, TrainError:0.19245458, TestError:0.20406352, TrainErrorChange:0.19245458, Accuracy: 0.9111111
Epoch:24, Time:0ms, TrainError:0.18671161, TestError:0.20132476, TrainErrorChange:0.18671161, Accuracy: 0.9111111
Epoch:25, Time:0ms, TrainError:0.18152767, TestError:0.19914636, TrainErrorChange:0.18152767, Accuracy: 0.9111111
Epoch:26, Time:1ms, TrainError:0.17683111, TestError:0.19747414, TrainErrorChange:0.17683111, Accuracy: 0.9111111
Epoch:27, Time:0ms, TrainError:0.17255864, TestError:0.19625577, TrainErrorChange:0.17255864, Accuracy: 0.9111111
Epoch:28, Time:0ms, TrainError:0.16865468, TestError:0.19544056, TrainErrorChange:0.16865468, Accuracy: 0.9111111
Epoch:29, Time:0ms, TrainError:0.16507027, TestError:0.19497924, TrainErrorChange:0.16507027, Accuracy: 0.9111111
Epoch:30, Time:1ms, TrainError:0.1617625, TestError:0.19482401, TrainErrorChange:0.1617625, Accuracy: 0.9111111
Epoch:31, Time:0ms, TrainError:0.15869384, TestError:0.19492926, TrainErrorChange:0.15869384, Accuracy: 0.9111111
Epoch:32, Time:0ms, TrainError:0.15583159, TestError:0.19525027, TrainErrorChange:0.15583159, Accuracy: 0.9111111
Epoch:33, Time:0ms, TrainError:0.15314743, TestError:0.19574536, TrainErrorChange:0.15314743, Accuracy: 0.9111111
Epoch:34, Time:1ms, TrainError:0.15061633, TestError:0.196375, TrainErrorChange:0.15061633, Accuracy: 0.9111111
Epoch:35, Time:1ms, TrainError:0.14821747, TestError:0.19710302, TrainErrorChange:0.14821747, Accuracy: 0.9111111
Epoch:36, Time:0ms, TrainError:0.1459323, TestError:0.19789614, TrainErrorChange:0.1459323, Accuracy: 0.9111111
Epoch:37, Time:0ms, TrainError:0.14374548, TestError:0.19872384, TrainErrorChange:0.14374548, Accuracy: 0.9111111
Epoch:38, Time:1ms, TrainError:0.14164366, TestError:0.19956066, TrainErrorChange:0.14164366, Accuracy: 0.9111111
Epoch:39, Time:1ms, TrainError:0.13961582, TestError:0.200383, TrainErrorChange:0.13961582, Accuracy: 0.9111111
Epoch:40, Time:1ms, TrainError:0.13765241, TestError:0.20117125, TrainErrorChange:0.13765241, Accuracy: 0.9111111
Epoch:41, Time:0ms, TrainError:0.13574576, TestError:0.20190874, TrainErrorChange:0.13574576, Accuracy: 0.9111111
Epoch:42, Time:0ms, TrainError:0.13388945, TestError:0.2025824, TrainErrorChange:0.13388945, Accuracy: 0.9111111
Epoch:43, Time:0ms, TrainError:0.1320783, TestError:0.20318156, TrainErrorChange:0.1320783, Accuracy: 0.9111111
Epoch:44, Time:0ms, TrainError:0.13030794, TestError:0.20369759, TrainErrorChange:0.13030794, Accuracy: 0.9111111
