------------------------------------------------------------------------
TRAINING NEURAL NETWORK
------------------------------------------------------------------------
Epoch:1, Time:62ms, TrainError:0.24088064, TrainErrorChange:0.24088064, Accuracy: 0.5555556
Epoch:2, Time:4ms, TrainError:0.2532906, TrainErrorChange:0.012409955, Accuracy: 0.5555556
Epoch:3, Time:13ms, TrainError:0.18986309, TrainErrorChange:-0.06342751, Accuracy: 0.5555555
Epoch:4, Time:2ms, TrainError:0.15379086, TrainErrorChange:-0.036072224, Accuracy: 0.5555556
Epoch:5, Time:2ms, TrainError:0.12987092, TrainErrorChange:-0.02391994, Accuracy: 0.5555556
Epoch:6, Time:1ms, TrainError:0.10750614, TrainErrorChange:-0.02236478, Accuracy: 0.5911111
Epoch:7, Time:1ms, TrainError:0.08788251, TrainErrorChange:-0.01962363, Accuracy: 0.75555557
Epoch:8, Time:1ms, TrainError:0.07341887, TrainErrorChange:-0.014463641, Accuracy: 0.77777785
Epoch:9, Time:0ms, TrainError:0.06317072, TrainErrorChange:-0.010248147, Accuracy: 0.77777785
Epoch:10, Time:1ms, TrainError:0.05553592, TrainErrorChange:-0.0076348037, Accuracy: 0.77777785
Epoch:11, Time:0ms, TrainError:0.049602523, TrainErrorChange:-0.0059333965, Accuracy: 0.7955556
Epoch:12, Time:2ms, TrainError:0.044944238, TrainErrorChange:-0.0046582855, Accuracy: 0.7955556
Epoch:13, Time:2ms, TrainError:0.04134425, TrainErrorChange:-0.0035999864, Accuracy: 0.8044445
Epoch:14, Time:1ms, TrainError:0.03865195, TrainErrorChange:-0.0026923008, Accuracy: 0.8088889
Epoch:15, Time:1ms, TrainError:0.03669931, TrainErrorChange:-0.0019526407, Accuracy: 0.81333333
Epoch:16, Time:1ms, TrainError:0.0352686, TrainErrorChange:-0.0014307089, Accuracy: 0.81333333
Epoch:17, Time:1ms, TrainError:0.03412907, TrainErrorChange:-0.0011395328, Accuracy: 0.81333333
Epoch:18, Time:1ms, TrainError:0.03310356, TrainErrorChange:-0.0010255091, Accuracy: 0.8177778
Epoch:19, Time:1ms, TrainError:0.032094643, TrainErrorChange:-0.0010089166, Accuracy: 0.82222223
Epoch:20, Time:1ms, TrainError:0.03106348, TrainErrorChange:-0.0010311622, Accuracy: 0.82222223
Epoch:21, Time:1ms, TrainError:0.030000811, TrainErrorChange:-0.0010626689, Accuracy: 0.82222223
Epoch:22, Time:1ms, TrainError:0.028908549, TrainErrorChange:-0.0010922626, Accuracy: 0.82666665

TRAINING COMPLETED
Total Training Time: 252ms
------------------------------------------------------------------------
------------------------------------------------------------------------
TRAINING NEURAL NETWORK
------------------------------------------------------------------------
Epoch:1, Time:8ms, TrainError:0.90040886, TrainErrorChange:0.90040886, ValidationError:0.63711923, Accuracy: 0.8666666
Epoch:2, Time:3ms, TrainError:0.66361904, TrainErrorChange:-0.23678982, ValidationError:0.4974511, Accuracy: 0.8666666
Epoch:3, Time:2ms, TrainError:0.54667753, TrainErrorChange:-0.11694151, ValidationError:0.4180844, Accuracy: 0.9111111
Epoch:4, Time:2ms, TrainError:0.46785846, TrainErrorChange:-0.07881907, ValidationError:0.3712762, Accuracy: 0.9111111
Epoch:5, Time:1ms, TrainError:0.41913545, TrainErrorChange:-0.048723012, ValidationError:0.34318683, Accuracy: 0.9111111
Epoch:6, Time:1ms, TrainError:0.3851787, TrainErrorChange:-0.033956766, ValidationError:0.32333413, Accuracy: 0.9111111
Epoch:7, Time:2ms, TrainError:0.35776427, TrainErrorChange:-0.027414411, ValidationError:0.30797327, Accuracy: 0.9111111
Epoch:8, Time:1ms, TrainError:0.334246, TrainErrorChange:-0.023518264, ValidationError:0.2954934, Accuracy: 0.9111111
Epoch:9, Time:1ms, TrainError:0.3134554, TrainErrorChange:-0.020790607, ValidationError:0.28506833, Accuracy: 0.9111111
Epoch:10, Time:1ms, TrainError:0.2947776, TrainErrorChange:-0.0186778, ValidationError:0.2762241, Accuracy: 0.9111111
Epoch:11, Time:1ms, TrainError:0.27785027, TrainErrorChange:-0.016927332, ValidationError:0.2686628, Accuracy: 0.9111111
Epoch:12, Time:1ms, TrainError:0.26243588, TrainErrorChange:-0.015414387, ValidationError:0.26218033, Accuracy: 0.9111111
Epoch:13, Time:1ms, TrainError:0.2483609, TrainErrorChange:-0.014074981, ValidationError:0.25662598, Accuracy: 0.9111111
Epoch:14, Time:1ms, TrainError:0.23548697, TrainErrorChange:-0.012873933, ValidationError:0.25188085, Accuracy: 0.9111111
Epoch:15, Time:1ms, TrainError:0.22369725, TrainErrorChange:-0.011789724, ValidationError:0.24784665, Accuracy: 0.9111111
Epoch:16, Time:1ms, TrainError:0.21288948, TrainErrorChange:-0.0108077675, ValidationError:0.24443817, Accuracy: 0.9111111
Epoch:17, Time:1ms, TrainError:0.2029725, TrainErrorChange:-0.009916976, ValidationError:0.24157976, Accuracy: 0.9111111
Epoch:18, Time:1ms, TrainError:0.19386466, TrainErrorChange:-0.009107843, ValidationError:0.23920284, Accuracy: 0.9111111
Epoch:19, Time:1ms, TrainError:0.18549211, TrainErrorChange:-0.008372545, ValidationError:0.23724408, Accuracy: 0.9111111
Epoch:20, Time:0ms, TrainError:0.17778865, TrainErrorChange:-0.007703468, ValidationError:0.23564525, Accuracy: 0.9111111
Epoch:21, Time:1ms, TrainError:0.17069419, TrainErrorChange:-0.0070944577, ValidationError:0.23435201, Accuracy: 0.9111111
