------------------------------------------------------------------------
TRAINING NEURAL NETWORK
------------------------------------------------------------------------
Epoch:1, Time:7ms, TrainError:0.9763314, TrainErrorChange:0.9763314, ValidationError:0.43907732, Accuracy: 0.8666666
Epoch:2, Time:2ms, TrainError:0.47067362, TrainErrorChange:-0.5056578, ValidationError:0.37073946, Accuracy: 0.9111111
Epoch:3, Time:3ms, TrainError:0.49539366, TrainErrorChange:0.024720043, ValidationError:0.278544, Accuracy: 0.9111111
Epoch:4, Time:3ms, TrainError:0.43132287, TrainErrorChange:-0.06407079, ValidationError:0.28967083, Accuracy: 0.9111111
Epoch:5, Time:2ms, TrainError:0.36382285, TrainErrorChange:-0.067500025, ValidationError:0.31063426, Accuracy: 0.9111111
Epoch:6, Time:2ms, TrainError:0.44214097, TrainErrorChange:0.07831812, ValidationError:0.26514015, Accuracy: 0.9111111
Epoch:7, Time:2ms, TrainError:0.4447734, TrainErrorChange:0.0026324391, ValidationError:0.22568493, Accuracy: 1.0
Epoch:8, Time:2ms, TrainError:0.4128746, TrainErrorChange:-0.031898797, ValidationError:0.34389964, Accuracy: 0.8666666
Epoch:9, Time:2ms, TrainError:0.44265196, TrainErrorChange:0.029777348, ValidationError:0.2591203, Accuracy: 0.9111111
Epoch:10, Time:2ms, TrainError:0.36864036, TrainErrorChange:-0.074011594, ValidationError:0.22149144, Accuracy: 0.9111111
Epoch:11, Time:2ms, TrainError:0.4357827, TrainErrorChange:0.06714234, ValidationError:0.14485374, Accuracy: 0.9555556
Epoch:12, Time:2ms, TrainError:0.2185176, TrainErrorChange:-0.2172651, ValidationError:0.18905649, Accuracy: 0.9111111
Epoch:13, Time:3ms, TrainError:0.27003002, TrainErrorChange:0.05151242, ValidationError:0.17456602, Accuracy: 0.9111111
Epoch:14, Time:2ms, TrainError:0.34336352, TrainErrorChange:0.0733335, ValidationError:0.1689416, Accuracy: 0.9111111
